"","Dataset","Model","Feature","Feature_Value","group_size","Feature_EN","Feature_Value_EN","is_privileged_group","stage","Model_EN","Metric","Value","order"
"1","Prepilot","BR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/BR","Before Reweighing","FP",15.6756756756757,1
"2","Prepilot","BR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/BR","Before Reweighing","FDR",43.9393939393939,1
"3","Prepilot","BR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/BR","Before Reweighing","STAT_PAR",35.6756756756757,1
"4","Prepilot","BR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/BR","Before Reweighing","FP",14.5794392523364,1
"5","Prepilot","BR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/BR","Before Reweighing","FDR",35.7798165137615,1
"6","Prepilot","BR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/BR","Before Reweighing","STAT_PAR",40.7476635514019,1
"7","Prepilot","AR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/AR","After Reweighing","FP",12.4324324324324,2
"8","Prepilot","AR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/AR","After Reweighing","FDR",43.3962264150943,2
"9","Prepilot","AR","IsFulltimeParent","1",185,"IsFulltimeParent","Full-time parent",0,"Prepilot/AR","After Reweighing","STAT_PAR",28.6486486486487,2
"10","Prepilot","AR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/AR","After Reweighing","FP",10.4672897196262,2
"11","Prepilot","AR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/AR","After Reweighing","FDR",33.3333333333333,2
"12","Prepilot","AR","IsFulltimeParent","0",1070,"IsFulltimeParent","Not full-time parent",1,"Prepilot/AR","After Reweighing","STAT_PAR",31.4018691588785,2
